Markov Chain Monte Carlo (MCMC) output:
Start = 1001 
End = 2000 
Thinning interval = 1 
        beta.(Intercept)    beta.X   beta.Y   beta.Roads beta.Waterways beta.Elevation   beta.Slope
  [53,]         12.09492 -1.442381 4.231923 -0.009074328   -0.004208274   0.0007931473 1.430155e-04
  [54,]         12.09492 -1.442381 4.231923 -0.009074328   -0.004208274   0.0007931473 1.430155e-04
  [55,]         12.11647 -1.439001 4.220210 -0.009085075   -0.004232160   0.0008037549 1.337903e-04
  [56,]         11.75995 -1.436218 4.223639 -0.009096082   -0.004222860   0.0008077642 1.386013e-04
  [57,]         12.53234 -1.441686 4.214293 -0.009091654   -0.004200596   0.0008250276 1.287996e-04
  [58,]         12.53234 -1.441686 4.214293 -0.009091654   -0.004200596   0.0008250276 1.287996e-04
  [59,]         12.52093 -1.439293 4.206944 -0.009091499   -0.004188801   0.0008119227 1.288777e-04
  [60,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [61,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [62,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [63,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [64,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [65,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [66,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [67,]         12.08813 -1.440528 4.226042 -0.009101443   -0.004160239   0.0008356539 1.195507e-04
  [68,]         11.86508 -1.439148 4.229337 -0.009087978   -0.004178119   0.0008314416 1.278350e-04
  [69,]         11.86508 -1.439148 4.229337 -0.009087978   -0.004178119   0.0008314416 1.278350e-04
  [70,]         12.26569 -1.445409 4.235653 -0.009086942   -0.004184558   0.0008440239 1.270715e-04
  [71,]         11.77980 -1.442822 4.244242 -0.009092503   -0.004170131   0.0008510722 1.232422e-04
  [72,]         12.38669 -1.447145 4.237030 -0.009105940   -0.004187401   0.0008443466 1.304943e-04
  [73,]         12.38669 -1.447145 4.237030 -0.009105940   -0.004187401   0.0008443466 1.304943e-04
  [74,]         11.71902 -1.440798 4.239607 -0.009071842   -0.004158199   0.0008431436 1.529144e-04
  [75,]         11.71902 -1.440798 4.239607 -0.009071842   -0.004158199   0.0008431436 1.529144e-04
  [76,]         11.71902 -1.440798 4.239607 -0.009071842   -0.004158199   0.0008431436 1.529144e-04
  [77,]         11.71902 -1.440798 4.239607 -0.009071842   -0.004158199   0.0008431436 1.529144e-04
  [78,]         12.74117 -1.446461 4.222111 -0.009063034   -0.004150791   0.0008401943 1.648717e-04
  [79,]         12.32287 -1.445891 4.235038 -0.009057696   -0.004166616   0.0008453835 1.594870e-04
  [80,]         12.29362 -1.446784 4.239019 -0.009076637   -0.004165342   0.0008518588 1.479695e-04
  [81,]         12.29362 -1.446784 4.239019 -0.009076637   -0.004165342   0.0008518588 1.479695e-04
  [82,]         12.29362 -1.446784 4.239019 -0.009076637   -0.004165342   0.0008518588 1.479695e-04
  [83,]         12.29362 -1.446784 4.239019 -0.009076637   -0.004165342   0.0008518588 1.479695e-04
  [84,]         12.29362 -1.446784 4.239019 -0.009076637   -0.004165342   0.0008518588 1.479695e-04
  [85,]         12.40334 -1.445516 4.231162 -0.009073613   -0.004198642   0.0008526021 1.194636e-04
  [86,]         12.40334 -1.445516 4.231162 -0.009073613   -0.004198642   0.0008526021 1.194636e-04
  [87,]         12.40334 -1.445516 4.231162 -0.009073613   -0.004198642   0.0008526021 1.194636e-04
  [88,]         12.68903 -1.448170 4.229940 -0.009098700   -0.004173004   0.0008288561 1.117796e-04
  [89,]         12.68903 -1.448170 4.229940 -0.009098700   -0.004173004   0.0008288561 1.117796e-04
  [90,]         12.68903 -1.448170 4.229940 -0.009098700   -0.004173004   0.0008288561 1.117796e-04
  [91,]         11.90806 -1.440319 4.231903 -0.009097601   -0.004169443   0.0008155812 8.994448e-05
  [92,]         11.90806 -1.440319 4.231903 -0.009097601   -0.004169443   0.0008155812 8.994448e-05
  [93,]         11.79575 -1.436857 4.224564 -0.009141183   -0.004148855   0.0008074147 1.119449e-04
  [94,]         11.55464 -1.437613 4.235448 -0.009133649   -0.004139159   0.0008152621 1.012455e-04
  [95,]         11.11991 -1.436124 4.245938 -0.009140876   -0.004205893   0.0008302710 1.036929e-04
  [96,]         11.22108 -1.434909 4.238359 -0.009144639   -0.004219690   0.0008426727 1.052133e-04
  [97,]         11.22108 -1.434909 4.238359 -0.009144639   -0.004219690   0.0008426727 1.052133e-04
  [98,]         11.64487 -1.434973 4.223666 -0.009133012   -0.004239991   0.0008469709 1.032024e-04
  [99,]         11.90857 -1.435317 4.215638 -0.009157286   -0.004202628   0.0008352753 9.414529e-05
 [100,]         11.90857 -1.435317 4.215638 -0.009157286   -0.004202628   0.0008352753 9.414529e-05
 [101,]         11.90857 -1.435317 4.215638 -0.009157286   -0.004202628   0.0008352753 9.414529e-05
 [102,]         11.90857 -1.435317 4.215638 -0.009157286   -0.004202628   0.0008352753 9.414529e-05
 [103,]         12.18474 -1.437615 4.213273 -0.009130085   -0.004232896   0.0008379300 1.149074e-04
 [104,]         12.18474 -1.437615 4.213273 -0.009130085   -0.004232896   0.0008379300 1.149074e-04
 [105,]         12.18474 -1.437615 4.213273 -0.009130085   -0.004232896   0.0008379300 1.149074e-04
 [106,]         11.85624 -1.437107 4.223287 -0.009142725   -0.004244390   0.0008276723 1.177642e-04
 [107,]         11.85624 -1.437107 4.223287 -0.009142725   -0.004244390   0.0008276723 1.177642e-04
 [108,]         11.67131 -1.441739 4.244815 -0.009141525   -0.004225246   0.0008308067 1.154528e-04
 [109,]         11.67131 -1.441739 4.244815 -0.009141525   -0.004225246   0.0008308067 1.154528e-04
 [110,]         11.67131 -1.441739 4.244815 -0.009141525   -0.004225246   0.0008308067 1.154528e-04
